Month,Brunei,Cambodia,Indonesia,Laos,Malaysia,Myanmar,Philippines,Singapore,Thailand,Vietnam
JAN,1.3624,4003.72,16266.39,21648.62,4.4686,2100.00,58.398,1.3624,34.2714,25309.00
FEB,1.3473,3928.49,16313.22,21478.45,4.4404,2100.00,58.033,1.3473,33.7631,25437.00
MAR,1.3369,3943.84,16460.04,21365.99,4.4346,2100.00,57.432,1.3369,33.8048,25549.00
APR,1.3246,3948.91,16802.38,21452.35,4.4164,2100.00,56.872,1.3246,33.7527,25861.25
MAY,1.2953,3915.49,16441.82,21405.93,4.2694,2098.00,55.617,1.2953,32.9815,25959.80
JUN,1.2839,3960.30,16304.51,21426.18,4.2418,2098.00,56.332,1.2839,32.6181,26080.00
JUL,1.2803,3949.80,16280.47,21360.72,4.2350,2098.35,56.790,1.2803,32.4277,26147.00
AUG,1.2852,3933.84,16301.17,21396.49,4.2308,2099.00,57.090,1.2852,32.4189,26273.75
SEP,1.2850,3974.58,16521.04,21519.31,4.2135,2099.38,57.232,1.2850,31.9845,26372.80
OCT,1.2953,3992.33,16592.17,21571.58,4.2181,2099.15,58.326,1.2953,32.5700,26318.40
